2025-10-29 15:35:38,045 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:38,619 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-archive, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:39,171 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2010-2011, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:39,753 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ICS/statistics/research/seminarseries/2010-2011/index, status <404>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:40,263 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ICS/statistics/research/seminarseries/2011-2012/index, status <404>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:40,772 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ICS/statistics/research/seminarseries/2012-2013/index, status <404>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:41,281 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/ICS/statistics/research/seminarseries/2013-2014/index, status <404>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:41,791 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2011-2012, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:42,342 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2012-2013, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:42,890 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2013-2014, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:43,448 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2014-2015, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:44,000 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2015-2016, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:44,549 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2016-2017, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:45,097 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2017-2018, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:45,653 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2018-2019, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:46,207 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/wp-content/uploads/JuliaPalaciosAbstract6-6-19, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:46,717 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/wp-content/uploads/TianZhengAbstract5-30-19, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:47,227 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/wp-content/uploads/StephanMandtAbstract5-16-19, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:47,737 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/wp-content/uploads/LorinCrawfordAbstract5-2-19, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:48,246 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/wp-content/uploads/XinTongAbstract4-25-19, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:48,756 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2019-2020, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:49,303 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2023-2024, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:49,853 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2024-2025, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:50,405 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-2025-2026, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:50,939 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/uc-irvine-statistics-state-of-the-department-2025, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:51,643 - Worker-0 - INFO - Downloaded https://ics.uci.edu/accessibility-statement, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:52,223 - Worker-0 - INFO - Downloaded https://ics.uci.edu/faculty-staff-positions, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:52,806 - Worker-0 - INFO - Downloaded https://ics.uci.edu/staff-positions, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:53,386 - Worker-0 - INFO - Downloaded https://ics.uci.edu/academic-recruitment, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:53,984 - Worker-0 - INFO - Downloaded https://ics.uci.edu/faculty-staff-resources, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:54,587 - Worker-0 - INFO - Downloaded https://cs.uci.edu/events/seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:55,181 - Worker-0 - INFO - Downloaded https://cs.ics.uci.edu/seminar-series-archive, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:55,735 - Worker-0 - INFO - Downloaded https://cs.ics.uci.edu/accessibility-statement, status <404>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:56,243 - Worker-0 - INFO - Downloaded https://cs.ics.uci.edu/people, status <608>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:56,755 - Worker-0 - INFO - Downloaded https://ics.uci.edu/events/list/?tribe__ecp_custom_46%5B0%5D=Computer+Science, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:57,437 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/alignment-of-llms-through-the-lens-of-data-and-algorithms, status <200>, using cache ('styx.ics.uci.edu', 9001).
2025-10-29 15:35:58,031 - Worker-0 - INFO - Downloaded https://ics.uci.edu/event/breaking-a-long-standing-barrier-2-%ce%b5-approximation-for-steiner-forest, status <200>, using cache ('styx.ics.uci.edu', 9001).
